"ICD10","ICD10Descr"
"M05631","Rheu arthritis of r wrist w involv of organs and systems"
"M3399","Dermatopolymyositis, unsp with other organ involvement"
"M05769","Rheu arthritis w rheu factor of unsp knee w/o org/sys involv"
"M05542","Rheumatoid polyneurop w rheumatoid arthritis of left hand"
"M06849","Other specified rheumatoid arthritis, unspecified hand"
"M0553","Rheumatoid polyneuropathy with rheumatoid arthritis of wrist"
"M05062","Felty's syndrome, left knee"
"M05859","Oth rheumatoid arthritis with rheumatoid factor of unsp hip"
"M05429","Rheumatoid myopathy with rheumatoid arthritis of unsp elbow"
"M0583","Other rheumatoid arthritis with rheumatoid factor of wrist"
"M05279","Rheumatoid vasculitis w rheumatoid arthritis of unsp ank/ft"
"M06212","Rheumatoid bursitis, left shoulder"
"M0524","Rheumatoid vasculitis with rheumatoid arthritis of hand"
"M05061","Felty's syndrome, right knee"
"M05849","Oth rheumatoid arthritis with rheumatoid factor of unsp hand"
"M05219","Rheu vasculitis w rheumatoid arthritis of unsp shoulder"
"M0631","Rheumatoid nodule, shoulder"
"M348","Other forms of systemic sclerosis"
"M05329","Rheu heart disease w rheumatoid arthritis of unsp elbow"
"M05362","Rheumatoid heart disease w rheumatoid arthritis of left knee"
"M05552","Rheumatoid polyneuropathy w rheumatoid arthritis of left hip"
"M0621","Rheumatoid bursitis, shoulder"
"M0530","Rheumatoid heart disease w rheumatoid arthritis of unsp site"
"M05832","Oth rheumatoid arthritis w rheumatoid factor of left wrist"
"M05669","Rheu arthritis of unsp knee w involv of organs and systems"
"M05662","Rheu arthritis of left knee w involv of organs and systems"
"M3322","Polymyositis with myopathy"
"M0620","Rheumatoid bursitis, unspecified site"
"M06349","Rheumatoid nodule, unspecified hand"
"M05051","Felty's syndrome, right hip"
"M0609","Rheumatoid arthritis w/o rheumatoid factor, multiple sites"
"M05739","Rheu arthrit w rheu factor of unsp wrist w/o org/sys involv"
"M05162","Rheumatoid lung disease w rheumatoid arthritis of left knee"
"M06051","Rheumatoid arthritis without rheumatoid factor, right hip"
"M05571","Rheumatoid polyneurop w rheumatoid arthritis of right ank/ft"
"M0523","Rheumatoid vasculitis with rheumatoid arthritis of wrist"
"M05779","Rheu arthrit w rheu factor of unsp ank/ft w/o org/sys involv"
"M06272","Rheumatoid bursitis, left ankle and foot"
"M05671","Rheu arthrit of right ank/ft w involv of organs and systems"
"M0582","Other rheumatoid arthritis with rheumatoid factor of elbow"
"M05319","Rheu heart disease w rheumatoid arthritis of unsp shoulder"
"M0561","Rheu arthritis of shoulder w involv of organs and systems"
"M05169","Rheumatoid lung disease w rheumatoid arthritis of unsp knee"
"M06241","Rheumatoid bursitis, right hand"
"M06211","Rheumatoid bursitis, right shoulder"
"M06839","Other specified rheumatoid arthritis, unspecified wrist"
"M06271","Rheumatoid bursitis, right ankle and foot"
"M05321","Rheumatoid heart disease w rheumatoid arthritis of r elbow"
"M328","Other forms of systemic lupus erythematosus"
"M353","Polymyalgia rheumatica"
"M06819","Other specified rheumatoid arthritis, unspecified shoulder"
"M054","Rheumatoid myopathy with rheumatoid arthritis"
"M0605","Rheumatoid arthritis without rheumatoid factor, hip"
"M05262","Rheumatoid vasculitis with rheumatoid arthritis of left knee"
"M06222","Rheumatoid bursitis, left elbow"
"M05721","Rheu arthritis w rheu factor of r elbow w/o org/sys involv"
"M32","Systemic lupus erythematosus (SLE)"
"M05132","Rheumatoid lung disease w rheumatoid arthritis of left wrist"
"M05821","Oth rheumatoid arthritis w rheumatoid factor of right elbow"
"M053","Rheumatoid heart disease with rheumatoid arthritis"
"M05271","Rheumatoid vasculitis w rheumatoid arthritis of right ank/ft"
"M05259","Rheumatoid vasculitis with rheumatoid arthritis of unsp hip"
"M06059","Rheumatoid arthritis without rheumatoid factor, unsp hip"
"M05269","Rheumatoid vasculitis with rheumatoid arthritis of unsp knee"
"M0589","Oth rheumatoid arthritis w rheumatoid factor mult site"
"M0604","Rheumatoid arthritis without rheumatoid factor, hand"
"M05711","Rheu arthrit w rheu factor of r shoulder w/o org/sys involv"
"M05561","Rheumatoid polyneurop w rheumatoid arthritis of right knee"
"M05012","Felty's syndrome, left shoulder"
"M05632","Rheu arthritis of l wrist w involv of organs and systems"
"M0502","Felty's syndrome, elbow"
"M06252","Rheumatoid bursitis, left hip"
"M3312","Other dermatopolymyositis with myopathy"
"M0501","Felty's syndrome, shoulder"
"M05231","Rheumatoid vasculitis w rheumatoid arthritis of right wrist"
"M06239","Rheumatoid bursitis, unspecified wrist"
"M05211","Rheumatoid vasculitis w rheumatoid arthritis of r shoulder"
"M06322","Rheumatoid nodule, left elbow"
"M06072","Rheumatoid arthritis w/o rheumatoid factor, left ank/ft"
"M05659","Rheu arthritis of unsp hip w involv of organs and systems"
"M05572","Rheumatoid polyneurop w rheumatoid arthritis of left ank/ft"
"M05541","Rheumatoid polyneurop w rheumatoid arthritis of right hand"
"M06039","Rheumatoid arthritis without rheumatoid factor, unsp wrist"
"M0503","Felty's syndrome, wrist"
"M06","Other rheumatoid arthritis"
"M06829","Other specified rheumatoid arthritis, unspecified elbow"
"M3310","Other dermatopolymyositis, organ involvement unspecified"
"M05439","Rheumatoid myopathy with rheumatoid arthritis of unsp wrist"
"M05722","Rheu arthritis w rheu factor of l elbow w/o org/sys involv"
"M06032","Rheumatoid arthritis without rheumatoid factor, left wrist"
"M05551","Rheumatoid polyneurop w rheumatoid arthritis of right hip"
"M05641","Rheu arthritis of right hand w involv of organs and systems"
"M05719","Rheu arthrit w rheu factor of unsp shldr w/o org/sys involv"
"M051","Rheumatoid lung disease with rheumatoid arthritis"
"M320","Drug-induced systemic lupus erythematosus"
"M05522","Rheumatoid polyneurop w rheumatoid arthritis of left elbow"
"M06261","Rheumatoid bursitis, right knee"
"M06852","Other specified rheumatoid arthritis, left hip"
"M05842","Oth rheumatoid arthritis with rheumatoid factor of left hand"
"M05452","Rheumatoid myopathy with rheumatoid arthritis of left hip"
"M05839","Oth rheumatoid arthritis w rheumatoid factor of unsp wrist"
"M0585","Other rheumatoid arthritis with rheumatoid factor of hip"
"M05249","Rheumatoid vasculitis with rheumatoid arthritis of unsp hand"
"M06079","Rheumatoid arthritis w/o rheumatoid factor, unsp ank/ft"
"M0636","Rheumatoid nodule, knee"
"M05342","Rheumatoid heart disease w rheumatoid arthritis of left hand"
"M0555","Rheumatoid polyneuropathy with rheumatoid arthritis of hip"
"M3300","Juvenile dermatopolymyositis, organ involvement unspecified"
"M05472","Rheumatoid myopathy w rheumatoid arthritis of left ank/ft"
"M05059","Felty's syndrome, unspecified hip"
"M0628","Rheumatoid bursitis, vertebrae"
"M05861","Oth rheumatoid arthritis w rheumatoid factor of right knee"
"M06821","Other specified rheumatoid arthritis, right elbow"
"M06019","Rheumatoid arthritis w/o rheumatoid factor, unsp shoulder"
"M05622","Rheu arthritis of l elbow w involv of organs and systems"
"M0681","Other specified rheumatoid arthritis, shoulder"
"M0550","Rheumatoid polyneurop w rheumatoid arthritis of unsp site"
"M06321","Rheumatoid nodule, right elbow"
"M06872","Other specified rheumatoid arthritis, left ankle and foot"
"M0689","Other specified rheumatoid arthritis, multiple sites"
"M06361","Rheumatoid nodule, right knee"
"M05049","Felty's syndrome, unspecified hand"
"M321","Systemic lupus erythematosus w organ or system involvement"
"M05369","Rheumatoid heart disease w rheumatoid arthritis of unsp knee"
"M3301","Juvenile dermatopolymyositis with respiratory involvement"
"M0565","Rheumatoid arthritis of hip w involv of organs and systems"
"M0581","Oth rheumatoid arthritis with rheumatoid factor of shoulder"
"M05569","Rheumatoid polyneurop w rheumatoid arthritis of unsp knee"
"M06369","Rheumatoid nodule, unspecified knee"
"M05151","Rheumatoid lung disease w rheumatoid arthritis of right hip"
"M0546","Rheumatoid myopathy with rheumatoid arthritis of knee"
"M3212","Pericarditis in systemic lupus erythematosus"
"M0551","Rheumatoid polyneuropathy w rheumatoid arthritis of shoulder"
"M05479","Rheumatoid myopathy w rheumatoid arthritis of unsp ank/ft"
"M05851","Oth rheumatoid arthritis with rheumatoid factor of right hip"
"M063","Rheumatoid nodule"
"M06362","Rheumatoid nodule, left knee"
"M0562","Rheumatoid arthritis of elbow w involv of organs and systems"
"M0587","Oth rheumatoid arthritis w rheumatoid factor of ank/ft"
"M0564","Rheumatoid arthritis of hand w involv of organs and systems"
"M05872","Oth rheumatoid arthritis w rheumatoid factor of left ank/ft"
"M06269","Rheumatoid bursitis, unspecified knee"
"M06861","Other specified rheumatoid arthritis, right knee"
"M06329","Rheumatoid nodule, unspecified elbow"
"M05129","Rheumatoid lung disease w rheumatoid arthritis of unsp elbow"
"M05629","Rheu arthritis of unsp elbow w involv of organs and systems"
"M0511","Rheumatoid lung disease w rheumatoid arthritis of shoulder"
"M3320","Polymyositis, organ involvement unspecified"
"M0622","Rheumatoid bursitis, elbow"
"M057","Rheumatoid arthritis w rheumatoid factor w/o org/sys involv"
"M05032","Felty's syndrome, left wrist"
"M05019","Felty's syndrome, unspecified shoulder"
"M05812","Oth rheumatoid arthritis w rheumatoid factor of l shoulder"
"M0686","Other specified rheumatoid arthritis, knee"
"M05022","Felty's syndrome, left elbow"
"M05141","Rheumatoid lung disease w rheumatoid arthritis of right hand"
"M05559","Rheumatoid polyneuropathy w rheumatoid arthritis of unsp hip"
"M05139","Rheumatoid lung disease w rheumatoid arthritis of unsp wrist"
"M332","Polymyositis"
"M06221","Rheumatoid bursitis, right elbow"
"M05172","Rheu lung disease w rheumatoid arthritis of left ank/ft"
"M315","Giant cell arteritis with polymyalgia rheumatica"
"M0542","Rheumatoid myopathy with rheumatoid arthritis of elbow"
"M06841","Other specified rheumatoid arthritis, right hand"
"M06871","Other specified rheumatoid arthritis, right ankle and foot"
"M0547","Rheumatoid myopathy w rheumatoid arthritis of ankle and foot"
"M339","Dermatopolymyositis, unspecified"
"M0566","Rheumatoid arthritis of knee w involv of organs and systems"
"M0607","Rheumatoid arthritis w/o rheumatoid factor, ankle and foot"
"M06859","Other specified rheumatoid arthritis, unspecified hip"
"M0536","Rheumatoid heart disease with rheumatoid arthritis of knee"
"M05459","Rheumatoid myopathy with rheumatoid arthritis of unsp hip"
"M0516","Rheumatoid lung disease with rheumatoid arthritis of knee"
"M05422","Rheumatoid myopathy with rheumatoid arthritis of left elbow"
"M05532","Rheumatoid polyneurop w rheumatoid arthritis of left wrist"
"M05751","Rheu arthritis w rheu factor of right hip w/o org/sys involv"
"M0509","Felty's syndrome, multiple sites"
"M05852","Oth rheumatoid arthritis with rheumatoid factor of left hip"
"M0626","Rheumatoid bursitis, knee"
"M05811","Oth rheumatoid arthritis w rheumatoid factor of r shoulder"
"M069","Rheumatoid arthritis, unspecified"
"M0575","Rheu arthritis w rheumatoid factor of hip w/o org/sys involv"
"M05762","Rheu arthritis w rheu factor of left knee w/o org/sys involv"
"M05361","Rheu heart disease w rheumatoid arthritis of right knee"
"M05442","Rheumatoid myopathy with rheumatoid arthritis of left hand"
"M0567","Rheu arthritis of ank/ft w involv of organs and systems"
"M06022","Rheumatoid arthritis without rheumatoid factor, left elbow"
"M06251","Rheumatoid bursitis, right hip"
"M05822","Oth rheumatoid arthritis w rheumatoid factor of left elbow"
"M05411","Rheumatoid myopathy w rheumatoid arthritis of right shoulder"
"M05232","Rheumatoid vasculitis w rheumatoid arthritis of left wrist"
"M05371","Rheu heart disease w rheumatoid arthritis of right ank/ft"
"M0554","Rheumatoid polyneuropathy with rheumatoid arthritis of hand"
"M05639","Rheu arthritis of unsp wrist w involv of organs and systems"
"M0531","Rheumatoid heart disease w rheumatoid arthritis of shoulder"
"M05221","Rheumatoid vasculitis w rheumatoid arthritis of right elbow"
"M0606","Rheumatoid arthritis without rheumatoid factor, knee"
"M0579","Rheu arthritis w rheu factor mult site w/o org/sys involv"
"M329","Systemic lupus erythematosus, unspecified"
"M0682","Other specified rheumatoid arthritis, elbow"
"M0684","Other specified rheumatoid arthritis, hand"
"M05829","Oth rheumatoid arthritis w rheumatoid factor of unsp elbow"
"M05159","Rheumatoid lung disease w rheumatoid arthritis of unsp hip"
"M05142","Rheumatoid lung disease w rheumatoid arthritis of left hand"
"M05611","Rheu arthritis of r shoulder w involv of organs and systems"
"M06262","Rheumatoid bursitis, left knee"
"M05841","Oth rheumatoid arthritis w rheumatoid factor of right hand"
"M0572","Rheu arthritis w rheu factor of elbow w/o org/sys involv"
"M3309","Juvenile dermatopolymyositis with other organ involvement"
"M05322","Rheumatoid heart disease w rheumatoid arthritis of l elbow"
"M06042","Rheumatoid arthritis without rheumatoid factor, left hand"
"M05741","Rheu arthritis w rheu factor of r hand w/o org/sys involv"
"M05521","Rheumatoid polyneurop w rheumatoid arthritis of right elbow"
"M05072","Felty's syndrome, left ankle and foot"
"M0573","Rheu arthritis w rheu factor of wrist w/o org/sys involv"
"M3214","Glomerular disease in systemic lupus erythematosus"
"M0506","Felty's syndrome, knee"
"M05149","Rheumatoid lung disease w rheumatoid arthritis of unsp hand"
"M058","Other rheumatoid arthritis with rheumatoid factor"
"M3482","Systemic sclerosis with myopathy"
"M0570","Rheu arthritis w rheu factor of unsp site w/o org/sys involv"
"M05379","Rheu heart disease w rheumatoid arthritis of unsp ank/ft"
"M05351","Rheumatoid heart disease w rheumatoid arthritis of right hip"
"M05531","Rheumatoid polyneurop w rheumatoid arthritis of right wrist"
"M34","Systemic sclerosis [scleroderma]"
"M05421","Rheumatoid myopathy with rheumatoid arthritis of right elbow"
"M06831","Other specified rheumatoid arthritis, right wrist"
"M05871","Oth rheumatoid arthritis w rheumatoid factor of right ank/ft"
"M06029","Rheumatoid arthritis without rheumatoid factor, unsp elbow"
"M05771","Rheu arthrit w rheu fctr of right ank/ft w/o org/sys involv"
"M3483","Systemic sclerosis with polyneuropathy"
"M05131","Rheumatoid lung disease w rheumatoid arthritis of r wrist"
"M3319","Other dermatopolymyositis with other organ involvement"
"M3213","Lung involvement in systemic lupus erythematosus"
"M0627","Rheumatoid bursitis, ankle and foot"
"M05451","Rheumatoid myopathy with rheumatoid arthritis of right hip"
"M0623","Rheumatoid bursitis, wrist"
"M05642","Rheu arthritis of left hand w involv of organs and systems"
"M05112","Rheumatoid lung disease w rheumatoid arthritis of l shoulder"
"M05","Rheumatoid arthritis with rheumatoid factor"
"M0632","Rheumatoid nodule, elbow"
"M0552","Rheumatoid polyneuropathy with rheumatoid arthritis of elbow"
"M06811","Other specified rheumatoid arthritis, right shoulder"
"M0504","Felty's syndrome, hand"
"M05242","Rheumatoid vasculitis with rheumatoid arthritis of left hand"
"M05359","Rheumatoid heart disease w rheumatoid arthritis of unsp hip"
"M06311","Rheumatoid nodule, right shoulder"
"M06319","Rheumatoid nodule, unspecified shoulder"
"M05729","Rheu arthrit w rheu factor of unsp elbow w/o org/sys involv"
"M06052","Rheumatoid arthritis without rheumatoid factor, left hip"
"M06372","Rheumatoid nodule, left ankle and foot"
"M05511","Rheumatoid polyneurop w rheumatoid arthritis of r shoulder"
"M3211","Endocarditis in systemic lupus erythematosus"
"M05649","Rheu arthritis of unsp hand w involv of organs and systems"
"M351","Other overlap syndromes"
"M0500","Felty's syndrome, unspecified site"
"M05732","Rheu arthritis w rheu factor of l wrist w/o org/sys involv"
"M0580","Oth rheumatoid arthritis with rheumatoid factor of unsp site"
"M05752","Rheu arthritis w rheu factor of left hip w/o org/sys involv"
"M0527","Rheumatoid vasculitis w rheumatoid arthritis of ank/ft"
"M06219","Rheumatoid bursitis, unspecified shoulder"
"M3215","Tubulo-interstitial neuropath in sys lupus erythematosus"
"M0510","Rheumatoid lung disease w rheumatoid arthritis of unsp site"
"M0586","Other rheumatoid arthritis with rheumatoid factor of knee"
"M3219","Oth organ or system involv in systemic lupus erythematosus"
"M0533","Rheumatoid heart disease with rheumatoid arthritis of wrist"
"M064","Inflammatory polyarthropathy"
"M06332","Rheumatoid nodule, left wrist"
"M06352","Rheumatoid nodule, left hip"
"M0624","Rheumatoid bursitis, hand"
"M05161","Rheumatoid lung disease w rheumatoid arthritis of right knee"
"M0522","Rheumatoid vasculitis with rheumatoid arthritis of elbow"
"M0545","Rheumatoid myopathy with rheumatoid arthritis of hip"
"M0559","Rheumatoid polyneuropathy w rheumatoid arthritis mult site"
"M05349","Rheumatoid heart disease w rheumatoid arthritis of unsp hand"
"M0544","Rheumatoid myopathy with rheumatoid arthritis of hand"
"M0540","Rheumatoid myopathy with rheumatoid arthritis of unsp site"
"M341","CR(E)ST syndrome"
"M05252","Rheumatoid vasculitis with rheumatoid arthritis of left hip"
"M06842","Other specified rheumatoid arthritis, left hand"
"M05029","Felty's syndrome, unspecified elbow"
"M05011","Felty's syndrome, right shoulder"
"M05222","Rheumatoid vasculitis w rheumatoid arthritis of left elbow"
"M0630","Rheumatoid nodule, unspecified site"
"M05819","Oth rheu arthritis w rheumatoid factor of unsp shoulder"
"M05431","Rheumatoid myopathy with rheumatoid arthritis of right wrist"
"M0687","Other specified rheumatoid arthritis, ankle and foot"
"M0549","Rheumatoid myopathy w rheumatoid arthritis of multiple sites"
"M05862","Oth rheumatoid arthritis with rheumatoid factor of left knee"
"M06812","Other specified rheumatoid arthritis, left shoulder"
"I252","Old myocardial infarction"
"I221","Subsequent STEMI of inferior wall"
"I22","Subsequent STEMI & NSTEMI mocard infrc"
"I2101","STEMI involving left main coronary artery"
"I2102","STEMI involving left anterior descending coronary artery"
"I222","Subsequent non-ST elevation (NSTEMI) myocardial infarction"
"I2129","STEMI involving oth sites"
"I214","Non-ST elevation (NSTEMI) myocardial infarction"
"I2119","STEMI involving oth coronary artery of inferior wall"
"I220","Subsequent STEMI of anterior wall"
"I2109","STEMI involving oth coronary artery of anterior wall"
"I212","ST elevation (STEMI) myocardial infarction of other sites"
"I2121","STEMI involving left circumflex coronary artery"
"I210","ST elevation (STEMI) myocardial infarction of anterior wall"
"I21","STEMI & NSTEMI mocard infrc"
"I213","ST elevation (STEMI) myocardial infarction of unsp site"
"I229","Subsequent STEMI of unsp site"
"I211","ST elevation (STEMI) myocardial infarction of inferior wall"
"I2111","STEMI involving right coronary artery"
"I228","Subsequent STEMI of sites"
"F13988","Sedative, hypnotic or anxiolytic use, unsp w oth disorder"
"F15180","Oth stimulant abuse with stimulant-induced anxiety disorder"
"F14981","Cocaine use, unsp with cocaine-induced sexual dysfunction"
"F13239","Sedatv/hyp/anxiolytc dependence w withdrawal, unsp"
"F1894","Inhalant use, unsp with inhalant-induced mood disorder"
"F15122","Oth stimulant abuse w intoxication w perceptual disturbance"
"F14182","Cocaine abuse with cocaine-induced sleep disorder"
"F18980","Inhalant use, unsp with inhalant-induced anxiety disorder"
"F1614","Hallucinogen abuse with hallucinogen-induced mood disorder"
"F19282","Oth psychoactive substance dependence w sleep disorder"
"F12159","Cannabis abuse with psychotic disorder, unspecified"
"F16229","Hallucinogen dependence with intoxication, unspecified"
"F16220","Hallucinogen dependence with intoxication, uncomplicated"
"F1824","Inhalant dependence with inhalant-induced mood disorder"
"F1397","Sedatv/hyp/anxiolytc use, unsp w persisting dementia"
"F1494","Cocaine use, unspecified with cocaine-induced mood disorder"
"F1827","Inhalant dependence with inhalant-induced dementia"
"F1424","Cocaine dependence with cocaine-induced mood disorder"
"F16251","Hallucinogen dependence w psychotic disorder w hallucin"
"F1914","Oth psychoactive substance abuse w mood disorder"
"F1193","Opioid use, unspecified with withdrawal"
"F1523","Other stimulant dependence with withdrawal"
"F1210","Cannabis abuse, uncomplicated"
"F12922","Cannabis use, unsp w intoxication w perceptual disturbance"
"O99323","Drug use complicating pregnancy, third trimester"
"F15250","Oth stim depend w stim-induce psych disorder w delusions"
"F16959","Hallucinogen use, unsp w psychotic disorder, unsp"
"F19221","Oth psychoactive substance dependence w intox delirium"
"F1324","Sedative, hypnotic or anxiolytic dependence w mood disorder"
"F1490","Cocaine use, unspecified, uncomplicated"
"F16288","Hallucinogen dependence w oth hallucinogen-induced disorder"
"F1419","Cocaine abuse with unspecified cocaine-induced disorder"
"F18251","Inhalant depend w inhalnt-induce psych disorder w hallucin"
"F16221","Hallucinogen dependence with intoxication with delirium"
"F1817","Inhalant abuse with inhalant-induced dementia"
"F1327","Sedatv/hyp/anxiolytc dependence w persisting dementia"
"F15988","Oth stimulant use, unsp with oth stimulant-induced disorder"
"F11182","Opioid abuse with opioid-induced sleep disorder"
"F11221","Opioid dependence with intoxication delirium"
"F13982","Sedative, hypnotic or anxiolytic use, unsp w sleep disorder"
"F1121","Opioid dependence, in remission"
"F13280","Sedatv/hyp/anxiolytc dependence w anxiety disorder"
"F1429","Cocaine dependence with unspecified cocaine-induced disorder"
"F11282","Opioid dependence with opioid-induced sleep disorder"
"F1110","Opioid abuse, uncomplicated"
"F1921","Other psychoactive substance dependence, in remission"
"F15981","Oth stimulant use, unsp w stim-induce sexual dysfunction"
"F13282","Sedative, hypnotic or anxiolytic dependence w sleep disorder"
"F1690","Hallucinogen use, unspecified, uncomplicated"
"O99325","Drug use complicating the puerperium"
"F16259","Hallucinogen dependence w psychotic disorder, unsp"
"F15281","Oth stimulant dependence w stim-induce sexual dysfunction"
"F14280","Cocaine dependence with cocaine-induced anxiety disorder"
"F19251","Oth psychoactv substance depend w psych disorder w hallucin"
"F1329","Sedative, hypnotic or anxiolytic dependence w unsp disorder"
"F11288","Opioid dependence with other opioid-induced disorder"
"F12188","Cannabis abuse with other cannabis-induced disorder"
"F1524","Oth stimulant dependence w stimulant-induced mood disorder"
"F1820","Inhalant dependence, uncomplicated"
"F14259","Cocaine dependence w cocaine-induc psychotic disorder, unsp"
"F1919","Oth psychoactive substance abuse w unsp disorder"
"F15959","Oth stimulant use, unsp w stim-induce psych disorder, unsp"
"F19959","Oth psychoactv substance use, unsp w psych disorder, unsp"
"F12222","Cannabis dependence w intoxication w perceptual disturbance"
"F11251","Opioid depend w opioid-induc psychotic disorder w hallucin"
"F1219","Cannabis abuse with unspecified cannabis-induced disorder"
"F13981","Sedatv/hyp/anxiolytc use, unsp w sexual dysfunction"
"F13230","Sedatv/hyp/anxiolytc dependence w withdrawal, uncomplicated"
"F13220","Sedatv/hyp/anxiolytc dependence w intoxication, uncomp"
"F11220","Opioid dependence with intoxication, uncomplicated"
"F16120","Hallucinogen abuse with intoxication, uncomplicated"
"F554","Abuse of vitamins"
"F1624","Hallucinogen dependence w hallucinogen-induced mood disorder"
"O99324","Drug use complicating childbirth"
"O99322","Drug use complicating pregnancy, second trimester"
"F1124","Opioid dependence with opioid-induced mood disorder"
"F13180","Sedative, hypnotic or anxiolytic abuse w anxiety disorder"
"F1321","Sedative, hypnotic or anxiolytic dependence, in remission"
"F1129","Opioid dependence with unspecified opioid-induced disorder"
"F14220","Cocaine dependence with intoxication, uncomplicated"
"F1229","Cannabis dependence with unsp cannabis-induced disorder"
"F19159","Oth psychoactive substance abuse w psychotic disorder, unsp"
"F1396","Sedatv/hyp/anxiolytc use, unsp w persist amnestic disorder"
"F1897","Inhalant use, unsp with inhalant-induced persisting dementia"
"F19281","Oth psychoactive substance dependence w sexual dysfunction"
"F11222","Opioid dependence w intoxication with perceptual disturbance"
"F19922","Oth psychoactv sub use, unsp w intox w perceptl disturb"
"F13182","Sedative, hypnotic or anxiolytic abuse w sleep disorder"
"F1929","Oth psychoactive substance dependence w unsp disorder"
"F11982","Opioid use, unspecified with opioid-induced sleep disorder"
"F14159","Cocaine abuse with cocaine-induced psychotic disorder, unsp"
"F15220","Other stimulant dependence with intoxication, uncomplicated"
"F13250","Sedatv/hyp/anxiolytc depend w psychotic disorder w delusions"
"F19120","Oth psychoactive substance abuse w intoxication, uncomp"
"F1529","Oth stimulant dependence w unsp stimulant-induced disorder"
"F1890","Inhalant use, unspecified, uncomplicated"
"F14281","Cocaine dependence with cocaine-induced sexual dysfunction"
"F1694","Hallucinogen use, unsp w hallucinogen-induced mood disorder"
"F19181","Oth psychoactive substance abuse w sexual dysfunction"
"F1920","Other psychoactive substance dependence, uncomplicated"
"F15280","Oth stimulant dependence w stim-induce anxiety disorder"
"F19250","Oth psychoactv substance depend w psych disorder w delusions"
"F14980","Cocaine use, unsp with cocaine-induced anxiety disorder"
"F12251","Cannabis dependence w psychotic disorder with hallucinations"
"F1610","Hallucinogen abuse, uncomplicated"
"F19988","Oth psychoactive substance use, unsp w oth disorder"
"F1593","Other stimulant use, unspecified with withdrawal"
"F1320","Sedative, hypnotic or anxiolytic dependence, uncomplicated"
"F558","Abuse of other non-psychoactive substances"
"F14122","Cocaine abuse with intoxication with perceptual disturbance"
"F16280","Hallucinogen dependence w anxiety disorder"
"F15222","Oth stimulant dependence w intox w perceptual disturbance"
"F1510","Other stimulant abuse, uncomplicated"
"F1190","Opioid use, unspecified, uncomplicated"
"F19229","Oth psychoactive substance dependence w intoxication, unsp"
"F13288","Sedative, hypnotic or anxiolytic dependence w oth disorder"
"F14988","Cocaine use, unspecified with other cocaine-induced disorder"
"F1629","Hallucinogen dependence w unsp hallucinogen-induced disorder"
"F1199","Opioid use, unsp with unspecified opioid-induced disorder"
"F1996","Oth psychoactv sub use, unsp w persist amnestic disorder"
"F13931","Sedatv/hyp/anxiolytc use, unsp w withdrawal delirium"
"F19980","Oth psychoactive substance use, unsp w anxiety disorder"
"F19931","Oth psychoactive substance use, unsp w withdrawal delirium"
"F16283","Hallucign depend w hallucign persisting perception disorder"
"F1594","Oth stimulant use, unsp with stimulant-induced mood disorder"
"F14222","Cocaine dependence w intoxication w perceptual disturbance"
"F11922","Opioid use, unsp w intoxication with perceptual disturbance"
"F19288","Oth psychoactive substance dependence w oth disorder"
"F16980","Hallucinogen use, unsp w anxiety disorder"
"F15221","Other stimulant dependence with intoxication delirium"
"F1999","Oth psychoactive substance use, unsp w unsp disorder"
"F13259","Sedatv/hyp/anxiolytc dependence w psychotic disorder, unsp"
"F1924","Oth psychoactive substance dependence w mood disorder"
"F1620","Hallucinogen dependence, uncomplicated"
"F14959","Cocaine use, unsp w cocaine-induced psychotic disorder, unsp"
"F18188","Inhalant abuse with other inhalant-induced disorder"
"F15229","Other stimulant dependence with intoxication, unspecified"
"F13221","Sedatv/hyp/anxiolytc dependence w intoxication delirium"
"F11259","Opioid dependence w opioid-induced psychotic disorder, unsp"
"F1899","Inhalant use, unsp with unsp inhalant-induced disorder"
"F11988","Opioid use, unspecified with other opioid-induced disorder"
"F1990","Other psychoactive substance use, unspecified, uncomplicated"
"F14982","Cocaine use, unspecified with cocaine-induced sleep disorder"
"F1326","Sedatv/hyp/anxiolytc depend w persisting amnestic disorder"
"F18229","Inhalant dependence with intoxication, unspecified"
"F11229","Opioid dependence with intoxication, unspecified"
"F1120","Opioid dependence, uncomplicated"
"F13188","Sedative, hypnotic or anxiolytic abuse w oth disorder"
"F1520","Other stimulant dependence, uncomplicated"
"F1810","Inhalant abuse, uncomplicated"
"F15159","Oth stimulant abuse w stim-induce psychotic disorder, unsp"
"F13932","Sedatv/hyp/anxiolytc use, unsp w w/drawal w perceptl disturb"
"F12988","Cannabis use, unsp with other cannabis-induced disorder"
"F15922","Oth stimulant use, unsp w intox w perceptual disturbance"
"F1299","Cannabis use, unsp with unsp cannabis-induced disorder"
"F18159","Inhalant abuse w inhalant-induced psychotic disorder, unsp"
"F13959","Sedatv/hyp/anxiolytc use, unsp w psychotic disorder, unsp"
"F1314","Sedative, hypnotic or anxiolytic abuse w mood disorder"
"F1410","Cocaine abuse, uncomplicated"
"F1599","Oth stimulant use, unsp with unsp stimulant-induced disorder"
"F1926","Oth psychoactv substance depend w persist amnestic disorder"
"F1221","Cannabis dependence, in remission"
"F1699","Hallucinogen use, unsp w unsp hallucinogen-induced disorder"
"F12220","Cannabis dependence with intoxication, uncomplicated"
"F13939","Sedatv/hyp/anxiolytc use, unsp w withdrawal, unsp"
"F14180","Cocaine abuse with cocaine-induced anxiety disorder"
